name,domain,especialidade_medica
Dr(a). Erick Nogueira,nogueira.med.br,Clínico Geral
Dr(a). Sr. Miguel da Costa,costa.med.br,Neuro
Dr(a). Davi Miguel Sá,sá.med.br,Neurologia
Dr(a). Henry Gabriel Sá,sá.med.br,Ortopedia
Dr(a). Diogo Ramos,ramos.med.br,Clínico Geral
Dr(a). Davi das Neves,neves.med.br,Neuro
Dr(a). Pietro Lopes,lopes.med.br,Cardiologia
Dr(a). Matteo Albuquerque,albuquerque.med.br,Neuro
Dr(a). Ravy Peixoto,peixoto.med.br,Cardiologia
Dr(a). Bernardo da Rocha,rocha.med.br,Clínico Geral
Dr(a). Valentim Lima,lima.med.br,Clínico Geral
Dr(a). Thiago Freitas,freitas.med.br,Cardiologia
Dr(a). Sr. André Rodrigues,rodrigues.med.br,Psiquiatria
Dr(a). Benicio Ribeiro,ribeiro.med.br,Neurologia
Dr(a). Murilo Abreu,abreu.med.br,Neuro
Dr(a). José Pedro Machado,machado.med.br,Ortopedia
Dr(a). Ravi Lucca Lima,lima.med.br,Cardiologia
Dr(a). Léo Nunes,nunes.med.br,Clínico Geral
Dr(a). Matteo da Mata,mata.med.br,Ortopedia
Dr(a). Augusto da Luz,luz.med.br,Cardiologia
Dr(a). Erick Nogueira,nogueira.med.br,Clínico Geral
